ID,Priorité,Domaine,Problème,Emplacement,Recommandation,Impact,Effort,Risque,Confiance,Type,Statut
"CRO-01","P0","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Hero ne dit ni QUOI précisément ni POUR QUI en <5s","src/templates/home.html:534-538 (hero) ; locales/fr/home.json:8-21","Ajouter une ligne explicite dans le hero nommant la fonction ET le public, sans casser le ton premium. La placer sous le wordmark, avant ou fusionnée avec le sub.","critique","<2h","Risque d'alourdir un hero volontairement épuré ; tester que le ton premium reste intact.","élevé","correction","à faire"
"CRO-02","P0","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Hero scrollytelling 420svh retarde la proposition de valeur","src/templates/home.html:158 (.hero-story.on { height:420svh }) et :175 (430svh mobile)","Réduire la longueur du scrollytelling (viser ~200-250svh) pour atteindre la démo et les douleurs plus vite, ou permettre un accès direct au contenu concret. À valider par A/B (le CTA restant visible atténue partiellement).","important","<1j","Le scrollytelling est un différenciateur de craft ; le raccourcir trop peut banaliser l'entrée. Mesurer le taux de scroll jusqu'à #demo avant/après.","moyen","experimentation","à faire"
"CRO-03","P1","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Zone morte : 9 sections sans aucun CTA App Store, dont le calculateur (pic d'intention)","src/templates/home.html — CTA uniquement en :573 (hero), :977 (tarifs), :1005 (closing) ; sections sans CTA en :580,:629,:638,:721,:753,:787,:807,:817,:903","Ajouter un CTA App Store juste après la démo/calculateur interactif, et/ou un CTA collant discret qui apparaît après la sortie du hero.","important","<2h","Un CTA collant peut gêner la lecture sur mobile ; le rendre discret et refermable.","élevé","optimisation","à faire"
"CRO-04","P1","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Cinq sections Pro consécutives avant la réassurance 'gratuit'","src/templates/home.html:753-903 (Watch, Double Tap, Mode Tap, Perfusions simultanées, Aperçu Pro) avant Tarifs :946","Insérer un rappel court 'ce que vous obtenez gratuitement' plus tôt (après les 3 gestes, avant le bloc Pro), ou étiqueter visiblement le bloc Pro comme 'Pour aller plus loin (Pro)' pour clarifier que ce qui précède est gratuit.","modéré","<2h","Ne pas dupliquer la section Tarifs ni casser le rythme narratif ; garder concis.","moyen","optimisation","à faire"
"CRO-05","P2","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Le dernier bouton de la page renvoie à #demo au lieu de l'App Store","src/templates/home.html:1010 (a.btn href='#demo', libellé 'Revoir DROPP en action', home.json:212)","Faire du téléchargement l'action dominante du dernier écran : soit pointer ce bouton vers l'App Store, soit reléguer 'Revoir' en lien secondaire discret sous le badge.","faible","<30min","Quasi nul ; redondance avec le badge juste au-dessus à surveiller (styliser différemment).","élevé","correction","à faire"
"CRO-06","P2","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Aucun en-tête / nav ni CTA persistant pour les arrivées deep-link","src/templates/home.html — unique <header> = le hero (:529) ; sélecteur de langue en footer (:1015)","Ajouter un en-tête minimal collant (wordmark + langue + CTA 'Télécharger') apparaissant au scroll passé le hero, cohérent avec l'esthétique sobre.","modéré","<1j","Un header fixe peut alourdir un design volontairement épuré ; le garder minimal et n'apparaître qu'au scroll.","moyen","optimisation","à faire"
"CRO-07","P2","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Conditions d'abonnement et formule de calcul absentes du site (objections résiduelles)","Site (recon §7) : pas de CGV/mentions d'abonnement détaillées ; formule gtt/min non affichée ; disclaimer en home.json:188","Ajouter une ligne sur la formule standard (V x facteur / durée) près de la démo 'Calculez', et un lien vers des conditions d'abonnement claires (ou les résumer dans la FAQ).","modéré","<2h","Formulation juridique à faire valider (relève aussi de l'agent juridique) ; ne pas sur-promettre sur la fiabilité clinique.","moyen","verification-juridique","à faire"
"CRO-08","P3","CRO / acquisition / conversion (site dropp.care, arrivée → clic App Store)","Colonne Pro affichée avant Gratuit dans les Tarifs","src/templates/home.html:950 (tier .pro en premier dans le DOM) puis :964 (tier gratuit)","Tester l'inversion (Gratuit à gauche/en premier) pour la promesse 'télécharger gratuitement', ou renforcer visuellement le titre rassurant.","faible","<30min","Faible ; à A/B tester, l'ordre Pro-first peut aussi servir un ancrage de valeur.","faible","experimentation","à faire"
"UX-01","P1","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Disclaimer clinique + copyright quasi invisibles (contraste 1.59:1)","src/templates/home.html:493-494 (footer{color:var(--faint)}) ; texte :1020-1021","Passer le corps du footer à --body (4.75:1) au minimum ; mettre le disclaimer clinique en --ink (10.2:1).","critique","<30min","Aucun visuel notable ; le footer devient simplement lisible.","élevé","correction","à faire"
"UX-02","P1","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Système de micro-libellés sous le seuil AA (--soft 2.30:1)","src/templates/home.html : .eyebrow (:49), .try (:252), .lbl (:75), .colhead (:285), .clab (:259), .tier .name (:455), .tapdemo .tu (:313), .dt-cap (:360)","Réserver --soft aux glyphes/unités purement décoratifs ; passer les eyebrows et libellés porteurs de sens à --body. Sur ce fond ivoire, seul ~#6F695E atteint 4.5:1 (testé #7E776B=3.87, #847D71=3.56) : il faut assumer --body.","important","<2h","Hiérarchie visuelle à maintenir via graisse/taille plutôt que teinte ; les libellés paraîtront un cran plus présents.","élevé","correction","à faire"
"UX-03","P1","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Focus clavier absent/incohérent sur les rouleaux du calculateur","src/templates/home.html:42-43 (règle focus-visible) vs :650-654 (div.roller[role=slider][tabindex=0])","Élargir le sélecteur aux éléments focusables custom.","modéré","<30min","Aucun ; ajoute un anneau cohérent avec le reste du site.","moyen","correction","à faire"
"UX-04","P2","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Le film s'auto-joue (et tente le son) sans respecter prefers-reduced-motion","src/templates/home.html:912-943 (script film), enter() :922-934","1) si reduced-motion, ne pas auto-jouer (poster + lecture manuelle) ; 2) démarrer toujours muet, activer le son seulement sur le bouton Son.","modéré","<30min","Le film ne démarre plus tout seul pour une partie des visiteurs ; conversion vidéo légèrement réduite mais conforme.","élevé","correction","à faire"
"UX-05","P2","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Hiérarchie de titres faible ; sections sans élément heading","src/templates/home.html : section « Vous connaissez ce moment » :629-637 (aucun titre) ; eyebrows en <p> ; sauts eyebrow→h3 (:639,:788)","Donner un heading réel (h2 discret) à chaque section, ou relier section↔eyebrow via aria-labelledby ; ne pas transformer en heading les eyebrows quand un vrai titre suit déjà.","modéré","<2h","Faible ; vérifier que le style h2 discret ne casse pas le rythme visuel.","élevé","correction","à faire"
"UX-06","P2","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Texte de lecture pile sur le seuil AA (fragile) à petite taille sur --surface","src/templates/home.html : .tier .note 12px (:460), .clinic 12px (:469), .dt.requirement 12.5px (:759)","Pour le texte ≤12.5px sur --surface, gris un cran plus foncé (~6:1) ou remonter à 13-14px.","faible","<30min","Aucun ; robustesse accrue.","élevé","optimisation","à faire"
"UX-07","P2","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Aucun CTA persistant ni navigation sur une page longue (conversion)","src/templates/home.html : bouton .hs-get en position:absolute dans le hero (:143), disparaît au scroll ; seul retour = #demo (:1010)","Tester un CTA « Télécharger » discret réapparaissant en position:fixed après le hero (respectant reduced-motion), ou une mini-nav ancrée, sans alourdir l'esthétique épurée.","modéré","<1j","Peut heurter le parti pris minimal ; à A/B tester avant généralisation.","moyen","experimentation","à faire"
"UX-08","P2","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Site forcé en clair uniquement — lisibilité de nuit pour la cible","src/templates/home.html:7 (<meta name=""color-scheme"" content=""only light"">), theme-color #F4EFE6","Proposer un thème sombre du site (réutiliser les tokens Graphite) ou au minimum ne pas forcer only light. Arbitrage de marque (le parti pris ivoire premium est cohérent et assumé).","modéré",">1sem","Refonte des tokens et QA sur 14 langues + panneau déjà sombre ; effort réel, à planifier.","moyen","decision-strategique","à faire"
"UX-09","P3","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Nav de langues du footer : 14 cibles tactiles minuscules et serrées","src/partials/i18n.css:40 (.flangs a { padding:6px 5px; font-size:11.5px })","Augmenter le padding vertical (≥10px) ou espacer davantage les liens de langue.","faible","<30min","Footer un peu plus haut ; négligeable.","moyen","optimisation","à faire"
"UX-10","P3","UX/UI mobile+web & accessibilité (WCAG) — site dropp.care","Wordmark du hero volontairement en gris doux sur nappe animée","src/templates/home.html:101 (.hs-title{color:var(--body)}), pilotage :1192-1197, fond canvas borné bg:[0.957,0.937,0.902] :1111","Garder ; vérifier seulement que la teinte du shader ne descend jamais sous 3:1 pour le wordmark (le fond du canvas est déjà borné, donc a priori OK).","faible","<30min","Aucun ; simple vérification, rien à corriger a priori.","faible","verification-juridique","à faire"
"COPYWR-01","P1","Copywriting & Positionnement / Marque","La fiche App Store se declare 'convertisseur de debit'","Texte promotionnel App Store (recon 01-reconnaissance.md sec.5 l.49)","Reecrire l'accroche App Store autour du rythme et du suivi, garder 'gratuit / sans donnee' en preuve, reserver le verbe 'calcule' au corps du texte et jamais au pitch d'accroche.","important","<30min","faible (champ promo editable dans App Store Connect, sans revalidation binaire)","élevé","decision-strategique","à faire"
"COPYWR-02","P1","Copywriting & Positionnement / Marque","La section Pro s'annonce par un theme cosmetique plutot que par sa valeur","locales/fr/home.json pro.title l.129 ('Le theme Graphite - et tout ce qui veille avec.') et pro.eyebrow 'Apercu Pro'","Titrer sur la capacite (ce qui veille pour l'utilisateur), faire du theme Graphite une preuve visuelle et non l'accroche.","modéré","<30min","faible","moyen","optimisation","à faire"
"COPYWR-03","P2","Copywriting & Positionnement / Marque","Verbe-cle incoherent : 'donne la cadence' (hero) vs 'bat la cadence' (meta)","locales/fr/home.json hero.sub l.12 ('...donne la cadence...') vs meta.description/ogDescription/jsonLdDescription l.4-6 ('...bat la cadence...')","Unifier sur 'bat la cadence' partout, y compris dans les 14 locales.","faible","<30min","faible","élevé","correction","à faire"
"COPYWR-04","P2","Copywriting & Positionnement / Marque","Casse du wordmark incoherente : DROPP vs Dropp","locales/fr/home.json : 18 occurrences 'DROPP' (hero, corps, trust) vs 4 'Dropp' (meta.jsonLdDescription l.6, cal.colTempo l.71, pro.note l.147, closing.iconAlt l.208) ; fiche App Store = 'Dropp'","Fixer une regle : DROPP reserve au logotype/wordmark graphique ; Dropp en casse titre dans tout texte courant (aligne sur l'App Store). Appliquer via script sur home.json et les 13 autres locales.","faible","<2h","faible","élevé","correction","à faire"
"COPYWR-05","P2","Copywriting & Positionnement / Marque","Surabondance du tiret cadratin comme tic rythmique","locales/fr/home.json : 32 occurrences de '—' sur 30 chaines (mesure), ex. moment.conclusion, calc.body, calc.warn, cont.body, dt.body, pricing.freeName, pro.title, multi.note, faq.a1, closing.byline","Limiter a environ 1 tiret cadratin par section ; ailleurs couper en deux phrases ou remplacer par ':' ou un point. Conserver le tiret la ou il porte (pricing.freeNote, moment.conclusion).","faible","<2h","modéré (ne pas sur-corriger et casser les bonnes lignes qui portent le tiret utilement)","moyen","optimisation","à faire"
"COPYWR-06","P2","Copywriting & Positionnement / Marque","'Ete 2026' (closing) contredit 'Disponible sur l'App Store' (hero) + bouton live","locales/fr/home.json hero.soon l.9 + hero.getFree (bouton live) vs closing.eyebrow l.209 'Ete 2026' au-dessus de closing.title 'Disponible sur l'App Store.'","Si l'app est live, retirer ou reformuler 'Ete 2026' en marqueur de millesime non date, ou aligner sur 'Disponible maintenant'. Eviter deux statuts temporels contradictoires sur la meme page.","modéré","<30min","faible","moyen","correction","à faire"
"COPYWR-07","P3","Copywriting & Positionnement / Marque","Titre tap.title cryptique hors contexte","locales/fr/home.json tap.title l.110 ('Observez une cadence. Tapez-la. Lisez-la.')","Ancrer le sujet dans le titre ou l'eyebrow sans alourdir la cadence actuelle.","faible","<30min","faible","moyen","optimisation","à faire"
"COPYWR-08","P3","Copywriting & Positionnement / Marque","Parenthese technique trop longue dans cal.body","locales/fr/home.json cal.body l.69 ('...audible si vous l'activez (un tick discret, pas plus fort qu'un cliquetis, qui respecte le mode silencieux).')","Raccourcir a une seule idee.","faible","<30min","faible","moyen","optimisation","à faire"
"COPYWR-09","P3","Copywriting & Positionnement / Marque","'eprouve sur le terrain' : claim a surveiller avec 0 avis","locales/fr/home.json closing.byline l.211 ('Concu par un soignant, eprouve sur le terrain') vs fiche App Store 0 avis/0 note (recon sec.5 l.53)","Garder si le fondateur l'a reellement utilise en poste ; sinon nuancer vers une promesse d'intention.","faible","<30min","faible","faible","verification-juridique","à faire"
